Go.	Va !
Take it.	Prends-le !
Take it.	Prenez-le !
Tell me.	Dis-moi !
Tell me.	Dites-moi !
Tom won.	Tom a gagné.
Wake up!	Réveille-toi !
Wake up!	Réveille-toi !
Wake up!	Réveillez-vous !
Wake up.	Réveille-toi !
Wake up.	Réveillez-vous !
Wash up.	Lave-toi !
Wash up.	Lavez-vous !
We know.	Nous savons.
We lost.	Nous perdîmes.
We lost.	Nous avons perdu.
We lost.	Nous fûmes battus.
We lost.	Nous fûmes battues.
We lost.	Nous fûmes défaits.
We lost.	Nous fûmes défaites.
We lost.	Nous avons été défaits.
We lost.	Nous avons été défaites.
We lost.	Nous avons été battus.
We lost.	Nous avons été battues.
Who won?	Qui a gagné ?
Who won?	Qui l'a emporté ?
You run.	Tu cours.
Am I fat?	Suis-je gros ?
Am I fat?	Suis-je grosse ?
Back off.	Recule !
Back off.	Reculez.
Back off.	Retire-toi !
Back off.	Retirez-vous.
Be a man.	Sois un homme !
Be a man.	Soyez un homme !
Be still.	Sois calme !
Be still.	Soyez calme !
Be still.	Soyez calmes !
Beats me.	Aucune idée.
Beats me.	J'en sais foutre rien.
Call Tom.	Appelle Tom.
Call Tom.	Appelez Tom.
Cheer up!	Courage !
Cool off!	Détends-toi !
Cuff him.	Menottez-le.
Drive on.	Avance !
Drive on.	Avancez !
Drive on.	Continue à rouler !
Drive on.	Continuez à rouler !
Get down!	Lâche-toi !
Get down.	Descends !
Get down.	Descendez !
Get down.	Lâche-toi !
Get down.	Lâchez-vous !
Get lost!	Va voir ailleurs si j'y suis !
Get lost!	Dégage !
